설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자
송산면주민센터	경기도 화성시 송산면 매봉산길 12	경기도	화성시	관공서	SKT	t wifi zon	201501	경기도 화성시 송산면 매봉산길 12	경기도 화성시 송산면 삼존리 203-5	송산면주민센터	031-369-3764	37.21777104	126.7389749	2016-09-20
기배동 주민센터	민원실	경기도	화성시	관공서	SKT	t wifi zon	201503	경기도 화성시 기안남로 62	경기도 화성시 기안동 457-21	기배동 주민센터	031-369-4584	37.22429881	126.9846737	2016-09-20
입암면사무소	사무실	경상북도	영양군	관공서	SKT	Public WiFi Free	Nov-15	경상북도 영양군 입암면 조기리길 10	경상북도 영양군 입암면 신구리 481-3	경상북도 영양군청	1599-0013	36.593274	129.0903	2015-09-16
공검면 보건지소	1층 로비	경상북도	상주시	관공서	SKT		Dec-13	경상북도 상주시 공검면 양정2길 17-6	경상북도 상주시 공검면 양정리 23-1	경상북도 상주시청	054-537-7082	36.5105137	128.1594375	2015-09-30
내서면 보건지소	1층 사무실	경상북도	상주시	관공서	SKT		Dec-13	경상북도 상주시 내서면 신촌2길 10-5	경상북도 상주시 내서면 신촌리 51-6	경상북도 상주시청	054-537-7082	36.412255	128.0669808	2015-09-30
모서면 보건지소	1층 로비	경상북도	상주시	관공서	SKT		Dec-13	경상북도 상주시 모서면 삼포3길 24	경상북도 상주시 모서면 삼포리 243	경상북도 상주시청	054-537-7082	36.3416306	127.9616135	2015-09-30
상주시 장애인 심부름센터	1층 사무실	경상북도	상주시	편의시설	SKT		Dec-13	경상북도 상주시 삼백로 185-7	경상북도 상주시 복룡동 461-2	경상북도 상주시청	054-537-7082	36.4191489	128.1638954	2015-09-30
사벌면 보건지소	1층 로비	경상북도	상주시	관공서	SKT		Dec-13	경상북도 상주시 사벌면 덕담1길 17	경상북도 상주시 사벌면 덕담리 1053-1	경상북도 상주시청	054-537-7082	36.4651251	128.2069556	2015-09-30
은척면 보건지소	1층 로비	경상북도	상주시	관공서	SKT		Dec-13	경상북도 상주시 은척면 봉림길 2	경상북도 상주시 은척면 봉중리 325-1	경상북도 상주시청	054-537-7082	36.5316721	128.0719878	2015-09-30
수성구보건소	민원실	대구광역시	수성구	서민·복지시설	SKT		Dec-13	대구광역시 수성구 수성로 213(중동)	대구광역시 수성구 중동 266-5	대구광역시 수성구청	053-666-2474	35.844606	128.61225	2015-09-23
영양전통시장	관리사무실	경상북도	영양군	기타	SKT	Public WiFi Free	Nov-15	경상북도 영양군 영양읍 시장5길 13	경상북도 영양군 영양읍 서부리 288-3	경상북도 영양군청	1599-0011	36.6644745	129.1158022	2015-09-16
영양읍사무소	사무실	경상북도	영양군	관공서	SKT	Public WiFi Free	Nov-15	경상북도 영양군 영양읍 군청길 53	경상북도 영양군 영양읍 동부리 550-10	경상북도 영양군청	1599-0012	36.6670778	129.1141674	2015-09-16
상동주민센터	민원실	대구광역시	수성구	관공서	SKT		Dec-14	대구광역시 수성구 들안로9길 56(상동)	대구광역시 수성구 상동 400	대구광역시 수성구청	053-666-2474	35.832243	128.615606	2015-09-23
고산2동주민센터	민원실	대구광역시	수성구	관공서	SKT		Dec-14	대구광역시 수성구 달구벌대로 3091(시지동)	대구광역시 수성구 시지동 140-3	대구광역시 수성구청	053-666-2474	35.84385	128.695266	2015-09-23
지산1동주민센터	민원실	대구광역시	수성구	관공서	SKT		Dec-14	대구광역시 수성구 지범로21길 16(지산동)	대구광역시 수성구 지산동 1280-2	대구광역시 수성구청	053-666-2474	35.825064	128.637198	2015-09-23
황금1동주민센터	민원실	대구광역시	수성구	관공서	SKT		Dec-14	대구광역시 수성구 청호로57길 10(황금동)	대구광역시 수성구 황금동 93-5	대구광역시 수성구청	053-666-2474	35.844058	128.638246	2015-09-23
청기면사무소	사무실	경상북도	영양군	관공서	SKT	Public WiFi Free	Nov-15	경상북도 영양군 청기면 청기1길 9-6	경상북도 영양군 청기면 청기리 791-1	경상북도 영양군청	1599-0014	36.6611773	129.062285	2015-09-16
일월면사무소	사무실	경상북도	영양군	관공서	SKT	Public WiFi Free	Nov-15	경상북도 영양군 일월면 영양로 2419	경상북도 영양군 일월면 도계리 653-2	경상북도 영양군청	1599-0015	36.7024131	129.1287501	2015-09-16
수비면사무소	사무실	경상북도	영양군	관공서	SKT	Public WiFi Free	Nov-15	경상북도 영양군 수비면 한티로 503	경상북도 영양군 수비면 발리리 503-1	경상북도 영양군청	1599-0016	36.765225	129.202563	2015-09-16
석보면사무소	사무실	경상북도	영양군	관공서	SKT	Public WiFi Free	Nov-15	경상북도 영양군 석보면 원리3길 19	경상북도 영양군 석보면 원리리 292	경상북도 영양군청	1599-0017	36.558083	129.12455	2015-09-16
일월보건지소	사무실	경상북도	영양군	관공서	SKT	Public WiFi Free	Nov-15	경상북도 영양군 일월면 영양로 2401	경상북도 영양군 일월면 도계리 667-17	경상북도 영양군청	1599-0018	36.7024649	129.1264989	2015-09-16
관평동 주민센터	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 관평동 905	대전광역시 유성구청	042-611-2183	36.4231431	127.3887811	2016-07-28
진잠동 주민센터	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 원내동 213-4	대전광역시 유성구청	042-611-2183	36.2997781	127.3164721	2016-07-28
온천1동 주민센터	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 봉명동 451	대전광역시 유성구청	042-611-2183	36.3531051	127.3389681	2016-07-28
온천2동 주민센터	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 장대동 40-2	대전광역시 유성구청	042-611-2183	36.3653121	127.3335781	2016-07-28
노은1동 주민센터	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 노은동 546	대전광역시 유성구청	042-611-2183	36.3673021	127.3185031	2016-07-28
노은2동 주민센터	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 하기동 411-1	대전광역시 유성구청	042-611-2183	36.3894361	127.3207811	2016-07-28
신성동 주민센터	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 하기동 18-6	대전광역시 유성구청	042-611-2183	36.3892401	127.3473751	2016-07-28
전민동 주민센터	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 문지동 247-1	대전광역시 유성구청	042-611-2183	36.3955971	127.4071821	2016-07-28
구즉동 주민센터	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 봉산동 294	대전광역시 유성구청	042-611-2183	36.4405091	127.3836611	2016-07-28
원신흥동 주민센터	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 원신흥동 491-14	대전광역시 유성구청	042-611-2183	36.3422825	127.3435478	2016-07-28
유성구 보건소	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 장대동 282-15	대전광역시 유성구청	042-611-2183	36.3581251	127.3354681	2016-07-28
구청 구민봉사실	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 대학로 211	대전광역시 유성구청	042-611-2183	36.3622522	127.3567227	2016-07-28
구청 세무과	민원실	대전광역시	유성구	관공서	SKT				대전광역시 유성구 대학로 211	대전광역시 유성구청	042-611-2183	36.3619066	127.3559073	2016-07-28
유림공원공연장	공연장	대전광역시	유성구	지역문화시설	SKT				대전광역시 유성구 봉명동 496-39	대전광역시 유성구청	042-611-2183	36.3606723	127.3582077	2016-07-28
전민동EXPO근린공원공연장	공연장	대전광역시	유성구	지역문화시설	SKT				대전광역시 유성구 전민동 467-3	대전광역시 유성구청	042-611-2183	36.3984811	127.4056371	2016-07-28
송강근린공원내공연장	공연장	대전광역시	유성구	지역문화시설	SKT				대전광역시 유성구 송강동 9번지	대전광역시 유성구청	042-611-2183	36.4355958	127.3844981	2016-07-28
족욕장	족욕장	대전광역시	유성구	관광	SKT				대전광역시 유성구 봉명동 574 도로	대전광역시 유성구청	042-611-2183	36.3551703	127.3442721	2016-07-28
유성시장_SK	시장 내	대전광역시	유성구	기타	SKT				대전광역시 유성구 장대동 191-7번지 일원	대전광역시 유성구청	042-611-2183	36.3577191	127.3339441	2016-07-28
유성시장_장터공연장	공연장	대전광역시	유성구	지역문화시설	SKT				대전광역시 유성구 장대동 279-4	대전광역시 유성구청	042-611-2183	36.3588941	127.3355631	2016-07-28
두드림공연장	공연장	대전광역시	유성구	지역문화시설	SKT				대전광역시 유성구 봉명동 574	대전광역시 유성구청	042-611-2183	36.3549371	127.3460531	2016-07-28
도안문화공원	공원	대전광역시	유성구	지역문화시설	SKT				대전 유성구 상대동 488	대전광역시 유성구청	042-611-2183	36.3367721	127.3334713	2016-07-28
대전시립박물관	박물관내	대전광역시	유성구	지역문화시설	SKT				대전 유성구 상대동 488	대전광역시 유성구청	042-611-2183	36.3362363	127.3349091	2016-07-28
대전시립박물관_별관	박물관내	대전광역시	유성구	지역문화시설	SKT				대전 유성구 상대동 488	대전광역시 유성구청	042-611-2183	36.3376537	127.3357673	2016-07-28
칠량면사무소 민원실	칠량면사무소 민원실	전라남도	강진군	관 공 서	SKT	Public WiFi Free	2015	전라남도 강진군 칠량면 칠량로 67	전라남도 강진군 칠량면 칠량로 67	전라남도 강진군	061-430-3300	34.5727808	126.7818584	2016-09-29
도암면사무소 민원실	도암면사무소 민원실	전라남도	강진군	관 공 서	SKT	Public WiFi Free	2015	전라남도 강진군 도암면 도암중앙로 73	전라남도 강진군 도암면 도암중앙로 73	전라남도 강진군	061-430-3300	34.5461307	126.7102501	2016-09-29
작천면사무소 민원실	작천면사무소 민원실	전라남도	강진군	관 공 서	SKT	Public WiFi Free	2015	전라남도 강진군 작천면 평리3길 2	전라남도 강진군 작천면 평리3길 2	전라남도 강진군	061-430-3300	34.7043093	126.7539568	2016-09-29
산내들지역아동센터	산내들지역아동센터	전라남도	강진군	복지시설	SKT	Public WiFi Free	2015	전라남도 강진군 마량면 삼마로 7-8	전라남도 강진군 마량면 삼마로 7-8	전라남도 강진군	061-430-3300	34.450253	126.8018738	2016-09-29
군동보건지소	군동보건지소	전라남도	강진군	관 공 서	SKT	Public WiFi Free	2015	전라남도 강진군 군동면 진흥로 324-9	전라남도 강진군 군동면 진흥로 324-9	전라남도 강진군	061-430-3300	34.6436392	126.7986246	2016-09-29
병영5일시장	병영5일시장	전라남도	강진군	전통시장	SKT	Public WiFi Free	2015	전라남도 강진군 병영면 남삼인길 6	전라남도 강진군 병영면 남삼인길 6	전라남도 강진군	061-430-3300	34.713753	126.7981307	2016-09-29
"스포츠산업단 체육관, 수영장"	"스포츠산업단 체육관, 수영장"	전라남도	강진군	관 공 서	SKT	Public WiFi Free	2015	전라남도 강진군 군동면 종합운동장길 60	전라남도 강진군 군동면 종합운동장길 60	전라남도 강진군	061-430-3300	34.6465521	126.7649667	2016-09-29
예원	각층	인천광역시	계양구	서민·복지시설	SKT	Public Free		인천광역시 계양구 둑실안길 54		인천광역시 계양구청	032-450-6781	37.580012	126.69681	2016-06-07
계양구노인복지관(신관)	각층	인천광역시	계양구	서민·복지시설	SKT	Public Free		인천광역시 계양구 효서로341번길 11		인천광역시 계양구청	032-450-6781	37.528651	126.734723	2016-06-07
계양구청소년수련관	각층	인천광역시	계양구	서민·복지시설	SKT	Public Free		인천광역시 계양구 장제로 937		인천광역시 계양구청	032-450-6781	37.55011	126.742004	2016-06-07
계양도서관	각층	인천광역시	계양구	서민·복지시설	SKT	Public Free		인천광역시 계양구 계산동 907-4		인천광역시 계양구청	032-450-6781	37.546017	126.730172	2016-06-07
서운도서관	각층	인천광역시	계양구	서민·복지시설	SKT	Public Free		인천광역시 계양구 아나지로 457번길		인천광역시 계양구청	032-450-6781	37.526176	126.742961	2016-06-07
작전도서관	각층	인천광역시	계양구	서민·복지시설	SKT	Public Free		인천광역시 계양구 오조산로 21번길4		인천광역시 계양구청	032-450-6781	37.533281	126.737312	2016-06-07
계양문화회관	각층	인천광역시	계양구	기타	SKT	Public Free		인천광역시 계양구 계양산로35번길 11		인천광역시 계양구청	032-450-6781	37.546023	126.718134	2016-06-07
농협부평교대역점	민원실	인천광역시	계양구	기타	SKT	Public Free		인천광역시 계양구 계산동 987-20		인천광역시 계양구청	032-450-6781	37.537014	126.722151	2016-06-07
의정부시청	"본관, 별관, 민원실"	경기도	의정부시	관공서	SKT	"T wifi zone, ollehwifi"	Oct-11	경기도 의정부시 시민로 1 (의정부동)	경기도 의정부시 의정부동 326-2	경기도 의정부시청	031-828-2302	37.738089	127.033733	2015-08-31
보건소	민원실	경기도	의정부시	관공서	SKT	"T wifi zone, ollehwifi"	Oct-11	경기도 의정부시 범골로 131 (의정부동)	경기도 의정부시 의정부동 516	경기도 의정부시청	031-828-2302	37.736152	127.039568	2015-08-31
청소년수련관	본관	경기도	의정부시	서민·복지시설	SKT	T wifi zone	Oct-11	경기도 의정부시 의정로 27 (의정부동)	경기도 의정부시 의정부동 352	경기도 의정부시 시설관리공단	031-828-9500	37.735087	127.034104	2015-08-31
예술의전당	본관	경기도	의정부시	지역문화시설	SKT	T wifi zone	Oct-11	경기도 의정부시 의정로 1 (의정부동)	경기도 의정부시 의정부동 323	경기도 의정부시 예술의전당	031-828-5841	37.733413	127.034368	2015-08-31
선원보건지소	1층로비	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 선원면 대문고개로 22		인천광역시 강화군청	032-930-3299	37.7143314	126.4843242	2015-10-15
연리보건진료소	1층진료실	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 선원면 연동로 210번길 3		인천광역시 강화군청	032-930-3299	37.7074625	126.4942687	2015-10-15
불은보건지소	1층로비	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 불은면 강화동로 562-3		인천광역시 강화군청	032-930-3299	37.6871251	126.4798541	2015-10-15
오도보건진료소	1층진료실	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 불은면 불은남로 293		인천광역시 강화군청	032-930-3299	37.6766927	126.5111591	2015-10-15
길상보건지소	1층로비	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 길상면 온수리 502-3		인천광역시 강화군청	032-930-3299	37.6413357	126.4912449	2015-10-15
구포2동 주민센터	승강장	부산광역시	북구	관공서	SKT	Public WiFi	Oct-12	부산광역시 북구 구포만세길 137(구포동)	부산광역시 북구 구포1동 1060	부산광역시	051-888-4602	35.2027181	128.9979931	2015-09-24
화도보건지소	1층로비	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 화도면 마니산로 703-14		인천광역시 강화군청	032-930-3299	37.6322478	126.4203573	2015-10-15
건평보건진료소	1층진료실	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 양도면 건평로 155번길 41		인천광역시 강화군청	032-930-3299	37.6809819	126.4059679	2015-10-15
송해보건지소	1층로비	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 송해면 전망대로 29		인천광역시 강화군청	032-930-3299	37.7653913	126.4624033	2015-10-15
강화군보건소	1층로비	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 강화읍 충렬사로 26-1		인천광역시 강화군청	032-930-3299	37.7379656	126.4841146	2015-10-15
양도보건지소	1층로비	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 양도면 강화남로 708-1		인천광역시 강화군청	032-930-3299	37.6633824	126.4216636	2015-10-15
내가보건지소	1층로비	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 내가면 강화서로 249		인천광역시 강화군청	032-930-3299	37.7200419	126.3893523	2015-10-15
신삼보건진료소	1층진료실	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 하점면 고려산로 506-2		인천광역시 강화군청	032-930-3299	37.7525663	126.3934493	2015-10-15
인화보건진료소	1층진료실	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 양사면 서사길105번길 47		인천광역시 강화군청	032-930-3299	37.7963691	126.3797033	2015-10-15
양사보건지소	1층로비	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 양사면 전망대로 1295-7		인천광역시 강화군청	032-930-3299	37.8060547	126.4043396	2015-10-15
하점보건지소	1층로비	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 하점면 강화대로 1220		인천광역시 강화군청	032-930-3299	37.7750381	126.4106773	2015-10-15
구포역	승강장	부산광역시	북구	교통시설	SKT	Public WiFi	Sep-13	부산광역시 북구 낙동대로 1697	부산광역시 북구 구포동 1157-1	부산광역시	051-888-4602	35.2066991	128.9964191	2015-09-24
평리1동	통신실	대구광역시	서구	관공서	SKT	public Wifi		대구광역시 서구 문화로280	대구광역시 서구 평리동1044-1	대구광역시 서구청	053-663-2473	35.8755955	128.563288	2016-09-10
매음리보건진료소	진료실	인천광역시	강화군	관공서	SKT	publicwififree	15-Dec	인천광역시 강화군 삼산면 어류정길 36		인천광역시 강화군청	032-930-3299	37.6641126	126.3488237	2015-10-15
부산광역시립 구포도서관	민원실	부산광역시	북구	지역문화시설	SKT	Public WiFi	Oct-12	부산광역시 북구 낙동북로663번길 23 (구포동)	부산광역시 북구 구포2동 1030-68	부산광역시	051-888-4602	35.1939141	128.9964811	2015-09-24
만덕1동 주민센터	열람실	부산광역시	북구	관공서	SKT	Public WiFi	Oct-12	부산광역시 북구 백양대로1016번다길 43(구포동)	부산광역시 북구 구포2동 1139-1	부산광역시	051-888-4602	35.2134731	129.0363911	2015-09-24
만덕3동 주민센터	민원실	부산광역시	북구	관공서	SKT	Public WiFi	Oct-12	부산광역시 북구 만덕1로 1(만덕동)	부산광역시 북구 만덕1동 830-34	부산광역시	051-888-4602	35.2113891	129.0292251	2015-09-24
화명동 어촌박물관	민원실	부산광역시	북구	지역문화시설	SKT	Public WiFi	Oct-12	부산광역시 북구 학사로 128	부산광역시 북구 화명3동 2279	부산광역시	051-888-4602	35.2336641	129.0086881	2015-09-24
소상공인지원센터(부산)	사무실	부산광역시	북구	관공서	SKT	Public WiFi	Sep-13	부산광역시 북구 만덕대로27번길 3	부산광역시 북구 덕천동 398-4	부산광역시	051-888-4602	35.2110451	129.0079581	2015-09-24
부산장애인자립센터	사무실	부산광역시	북구	서민복지시설	SKT	Public WiFi	Sep-13	부산광역시 북구 화명신도시로 117	부산광역시 북구 화명3동 2275-3	부산광역시	051-888-4602	35.2346851	129.0105021	2015-09-24
작은 청소년 도서관(부암1동)	민원실	부산광역시	부산진구	서민·복지시설	SKT	Public WiFi Free	Sep-12	부산광역시 부산진구 신천대로 241번길 41	부산광역시 부산진구 부암동 226	부산광역시 부산진구청	051-605-4171	35.1632732	129.0484424	2016-01-01
양정1동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	Sep-12	부산광역시 부산진구 범양로125번길 26	부산광역시 부산진구 양정동 507-7	부산광역시 부산진구청	051-605-4171	35.1744944	129.0643816	2016-01-01
범천1동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	Sep-12	부산광역시 부산진구 범일로192번길 21(범천동)	부산광역시 부산진구 범천동 340-8	부산광역시 부산진구청	051-605-4171	35.1486628	129.0515511	2016-01-01
평리4동	민원실	대구광역시	서구	관공서	SKT	public Wifi		대구광역시 서구 국채보상로46길37-3	대구광역시 서구 평리동1346-3	대구광역시 서구청	053-663-2473	35.8673511	128.5568098	2016-09-10
포천시청	포천시청(제3별관)3F산림녹지과_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(제3별관)2F재난관리과_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(제3별관)1F문화관광과_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(제2별관)3F기획예산과_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(제2별관)2F미래도시사업소_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(제1별관)3F환경관리과_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(제1별관)3F사무실_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(제1별관)2F지역경제과_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(제1별관)2F주민생활지원과_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(제1별관)1F주민생활지원과_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(제1별관)1F농협출장소_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시청	포천시청(재난상황실)2F회의실_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시의회	포천시청(의회청사)3F통신실_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시의회	포천시청(의회청사)3F복도_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시의회	포천시청(의회청사)2F휴게실_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시의회	포천시청(의회청사)2F복도_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시의회	포천시청(의회청사)1F사무실천정_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
포천시의회	포천시청(의회청사)1F사무실벽면_D	경기도	포천시	관공서	SKT	T wifi zone	Nov-16	경기도 포천시  중앙로 87	경기도 포천시 신읍동 58-2	경기도 포천시청	031-538-2301	37.894599	127.200179	2016-08-31
